distance_m,speed_kmh,ax_g,battery_power_kw,soc_pct,motor_temp_c,limiting_factor
0.0000,120.0000,0.0000,30.0651,89.8377,408.4846,cruise
0.5002,120.0000,0.0000,30.0651,89.8363,408.4332,cruise
1.0004,120.0000,0.0000,30.0651,89.8348,408.3818,cruise
1.5006,120.0000,0.0000,30.0651,89.8334,408.3304,cruise
2.0007,120.0000,0.0000,30.0651,89.8320,408.2790,cruise
2.5009,120.0000,0.0000,30.0651,89.8305,408.2276,cruise
3.0011,120.0000,0.0000,30.0651,89.8291,408.1762,cruise
3.5013,120.0000,0.0000,30.0651,89.8277,408.1249,cruise
4.0015,120.0000,0.0000,30.0651,89.8262,408.0735,cruise
4.5017,120.0000,0.0000,30.0651,89.8248,408.0222,cruise
5.0018,120.0000,0.0000,30.0651,89.8234,407.9708,cruise
5.5020,120.0000,0.0000,30.0651,89.8219,407.9195,cruise
6.0022,120.0000,0.0000,30.0651,89.8205,407.8682,cruise
6.5024,120.0000,0.0000,30.0651,89.8191,407.8169,cruise
7.0026,120.0000,0.0000,30.0651,89.8176,407.7656,cruise
7.5028,120.0000,0.0000,30.0651,89.8162,407.7143,cruise
8.0029,120.0000,0.0000,30.0651,89.8148,407.6630,cruise
8.5031,120.0000,0.0000,30.0651,89.8134,407.6117,cruise
9.0033,120.0000,0.0000,30.0651,89.8119,407.5605,cruise
9.5035,120.0000,0.0000,30.0651,89.8105,407.5092,cruise
10.0037,120.0000,0.0000,30.0651,89.8091,407.4580,cruise
10.5039,120.0000,0.0000,30.0651,89.8076,407.4067,cruise
11.0041,120.0000,0.0000,30.0651,89.8062,407.3555,cruise
11.5042,120.0000,0.0000,30.0651,89.8048,407.3043,cruise
12.0044,120.0000,0.0000,30.0651,89.8033,407.2531,cruise
12.5046,120.0000,0.0000,30.0651,89.8019,407.2019,cruise
13.0048,120.0000,0.0000,30.0651,89.8005,407.1507,cruise
13.5050,120.0000,0.0000,30.0651,89.7990,407.0995,cruise
14.0052,120.0000,0.0000,30.0651,89.7976,407.0483,cruise
14.5053,120.0000,0.0000,30.0651,89.7962,406.9972,cruise
15.0055,120.0000,0.0000,30.0651,89.7947,406.9460,cruise
15.5057,120.0000,0.0000,30.0651,89.7933,406.8949,cruise
16.0059,120.0000,0.0000,30.0651,89.7919,406.8437,cruise
16.5061,120.0000,0.0000,30.0651,89.7904,406.7926,cruise
17.0063,120.0000,0.0000,30.0651,89.7890,406.7415,cruise
17.5065,120.0000,0.0000,30.0651,89.7876,406.6904,cruise
18.0066,120.0000,0.0000,30.0651,89.7861,406.6393,cruise
18.5068,120.0000,0.0000,30.0651,89.7847,406.5882,cruise
19.0070,120.0000,0.0000,30.0651,89.7833,406.5372,cruise
19.5072,120.0000,0.0000,30.0651,89.7818,406.4861,cruise
