distance_m,speed_kmh,ax_g,battery_power_kw,soc_pct,motor_temp_c,limiting_factor
486.2698,120.0000,0.0000,30.0651,97.7780,71.5959,cruise
486.7699,120.0000,0.0000,30.0651,97.7766,71.5940,cruise
487.2701,120.0000,0.0000,30.0651,97.7752,71.5921,cruise
487.7703,120.0000,0.0000,30.0651,97.7737,71.5901,cruise
488.2705,120.0000,0.0000,30.0651,97.7723,71.5882,cruise
488.7707,120.0000,0.0000,30.0651,97.7709,71.5863,cruise
489.2709,120.0000,0.0000,30.0651,97.7694,71.5843,cruise
489.7710,120.0000,0.0000,30.0651,97.7680,71.5824,cruise
490.2712,120.0000,0.0000,30.0651,97.7666,71.5805,cruise
490.7714,120.0000,0.0000,30.0651,97.7651,71.5785,cruise
491.2716,120.0000,0.0000,30.0651,97.7637,71.5766,cruise
491.7718,120.0000,0.0000,30.0651,97.7623,71.5747,cruise
492.2720,120.0000,0.0000,30.0651,97.7608,71.5728,cruise
492.7722,120.0000,0.0000,30.0651,97.7594,71.5708,cruise
493.2723,120.0000,0.0000,30.0651,97.7580,71.5689,cruise
493.7725,120.0000,0.0000,30.0651,97.7565,71.5670,cruise
494.2727,120.0000,0.0000,30.0651,97.7551,71.5651,cruise
494.7729,120.0000,0.0000,30.0651,97.7537,71.5631,cruise
495.2731,120.0000,0.0000,30.0651,97.7523,71.5612,cruise
495.7733,120.0000,0.0000,30.0651,97.7508,71.5593,cruise
496.2734,120.0000,0.0000,30.0651,97.7494,71.5574,cruise
496.7736,120.0000,-69.0816,0.0000,97.7480,71.5554,braking
497.2738,74.9259,-26.8087,0.0000,97.7480,71.5453,braking
497.7740,46.9494,-7.6566,0.0000,97.7480,71.5300,braking
498.2742,35.0777,-2.5878,0.0000,97.7480,71.5080,braking
498.7744,30.0219,-0.4061,0.0000,97.7480,71.4807,braking
499.2663,29.1635,1.4323,40.9596,97.7480,71.4514,accel
499.7665,32.1353,4.7146,97.0000,97.7403,71.4496,accel
500.2667,40.4018,14.7809,97.0000,97.7250,71.5087,accel
500.7669,59.2639,72.2768,97.0000,97.7139,71.7123,accel
501.2670,112.7151,13.3294,97.0000,97.7075,72.9066,accel
501.7672,120.0000,0.0000,30.0651,97.7027,73.2026,cruise
502.2674,120.0000,0.0000,30.0651,97.7013,73.2004,cruise
502.7676,120.0000,0.0000,30.0651,97.6998,73.1982,cruise
503.2678,120.0000,0.0000,30.0651,97.6984,73.1960,cruise
503.7680,120.0000,0.0000,30.0651,97.6970,73.1937,cruise
504.2681,120.0000,-42.5672,0.0000,97.6955,73.1915,braking
504.7683,94.7951,-47.7056,0.0000,97.6955,73.1818,braking
505.2685,54.0250,-11.3629,0.0000,97.6955,73.1686,braking
505.7687,38.3865,-3.7046,0.0000,97.6955,73.1482,braking
506.2689,31.6600,-0.8798,0.0000,97.6955,73.1218,braking
506.7672,29.8476,1.0859,31.5678,97.6955,73.0922,accel
507.2674,32.0778,4.1558,97.0000,97.6897,73.0831,accel
507.7675,39.4657,12.9778,97.0000,97.6742,73.1315,accel
508.2677,56.6402,59.1388,97.0000,97.6627,73.3117,accel
508.7679,103.5840,28.8585,97.0000,97.6557,74.2168,accel
509.2681,120.0000,0.0000,30.0651,97.6508,74.8051,cruise
509.7683,120.0000,0.0000,30.0651,97.6493,74.8026,cruise
510.2685,120.0000,0.0000,30.0651,97.6479,74.8001,cruise
510.7686,120.0000,0.0000,30.0651,97.6465,74.7976,cruise
511.2688,120.0000,0.0000,30.0651,97.6450,74.7950,cruise
511.7690,120.0000,-10.1325,0.0000,97.6436,74.7925,braking
512.2692,114.5046,-63.2475,0.0000,97.6436,74.7832,braking
512.7694,71.1842,-15.3180,0.0000,97.6436,74.7719,braking
513.2696,55.8478,-3.7655,0.0000,97.6436,74.7561,braking
513.7698,51.3815,2.7268,97.0000,97.6436,74.7378,accel
514.2696,54.6498,12.5705,97.0000,97.6332,74.7592,accel
514.7697,67.7154,45.1550,97.0000,97.6241,74.9107,accel
515.2699,101.6287,32.0135,97.0000,97.6176,75.6414,accel
515.7701,120.0000,0.0000,30.0651,97.6125,76.2819,cruise
516.2703,120.0000,-74.2044,0.0000,97.6111,76.2791,braking
516.7705,70.4440,-25.0451,0.0000,97.6111,76.2677,braking
517.2707,42.1545,-6.9199,0.0000,97.6111,76.2496,braking
517.7709,29.9484,-2.3463,0.0000,97.6111,76.2223,braking
518.2710,24.4641,-0.6338,0.0000,97.6111,76.1867,braking
518.7712,22.7570,0.4808,10.7317,97.6111,76.1460,accel
519.2642,24.0448,2.0169,49.4329,97.6085,76.1151,accel
519.7644,28.8906,5.8812,97.0000,97.5979,76.1176,accel
520.2646,39.7827,20.6967,97.0000,97.5817,76.1952,accel
520.7648,64.9227,80.0808,97.0000,97.5711,76.4759,accel
521.2649,120.0000,0.0000,30.0651,97.5651,77.8835,cruise
521.7651,120.0000,0.0000,30.0651,97.5637,77.8804,cruise
522.2653,120.0000,0.0000,30.0651,97.5623,77.8773,cruise
522.7655,120.0000,0.0000,30.0651,97.5608,77.8742,cruise
523.2657,120.0000,0.0000,30.0651,97.5594,77.8711,cruise
523.7659,120.0000,0.0000,30.0651,97.5580,77.8681,cruise
524.2661,120.0000,0.0000,30.0651,97.5565,77.8650,cruise
524.7662,120.0000,0.0000,30.0651,97.5551,77.8619,cruise
525.2664,120.0000,0.0000,30.0651,97.5537,77.8588,cruise
525.7666,120.0000,0.0000,30.0651,97.5522,77.8557,cruise
526.2668,120.0000,0.0000,30.0651,97.5508,77.8527,cruise
526.7670,120.0000,0.0000,30.0651,97.5494,77.8496,cruise
527.2672,120.0000,0.0000,30.0651,97.5479,77.8465,cruise
527.7673,120.0000,0.0000,30.0651,97.5465,77.8434,cruise
528.2675,120.0000,0.0000,30.0651,97.5451,77.8404,cruise
528.7677,120.0000,0.0000,30.0651,97.5436,77.8373,cruise
529.2679,120.0000,0.0000,30.0651,97.5422,77.8342,cruise
529.7681,120.0000,0.0000,30.0651,97.5408,77.8311,cruise
530.2683,120.0000,0.0000,30.0651,97.5393,77.8281,cruise
530.7685,120.0000,0.0000,30.0651,97.5379,77.8250,cruise
531.2686,120.0000,0.0000,30.0651,97.5365,77.8219,cruise
531.7688,120.0000,0.0000,30.0651,97.5350,77.8188,cruise
532.2690,120.0000,0.0000,30.0651,97.5336,77.8158,cruise
532.7692,120.0000,0.0000,30.0651,97.5322,77.8127,cruise
533.2694,120.0000,0.0000,30.0651,97.5307,77.8096,cruise
533.7696,120.0000,0.0000,30.0651,97.5293,77.8066,cruise
534.2697,120.0000,0.0000,30.0651,97.5279,77.8035,cruise
534.7699,120.0000,0.0000,30.0651,97.5265,77.8004,cruise
535.2701,120.0000,0.0000,30.0651,97.5250,77.7973,cruise
535.7703,120.0000,0.0000,30.0651,97.5236,77.7943,cruise
536.2705,120.0000,0.0000,30.0651,97.5222,77.7912,cruise
536.7707,120.0000,0.0000,30.0651,97.5207,77.7881,cruise
537.2708,120.0000,0.0000,30.0651,97.5193,77.7851,cruise
537.7710,120.0000,0.0000,30.0651,97.5179,77.7820,cruise
538.2712,120.0000,0.0000,30.0651,97.5164,77.7789,cruise
538.7714,120.0000,0.0000,30.0651,97.5150,77.7759,cruise
539.2716,120.0000,0.0000,30.0651,97.5136,77.7728,cruise
539.7718,120.0000,0.0000,30.0651,97.5121,77.7698,cruise
540.2720,120.0000,0.0000,30.0651,97.5107,77.7667,cruise
540.7721,120.0000,0.0000,30.0651,97.5093,77.7636,cruise
541.2723,120.0000,0.0000,30.0651,97.5078,77.7606,cruise
541.7725,120.0000,0.0000,30.0651,97.5064,77.7575,cruise
542.2727,120.0000,0.0000,30.0651,97.5050,77.7544,cruise
542.7729,120.0000,0.0000,30.0651,97.5035,77.7514,cruise
543.2731,120.0000,0.0000,30.0651,97.5021,77.7483,cruise
543.7732,120.0000,0.0000,30.0651,97.5007,77.7453,cruise
544.2734,120.0000,0.0000,30.0651,97.4992,77.7422,cruise
544.7736,120.0000,0.0000,30.0651,97.4978,77.7392,cruise
545.2738,120.0000,0.0000,30.0651,97.4964,77.7361,cruise
545.7740,120.0000,0.0000,30.0651,97.4949,77.7330,cruise
546.2742,120.0000,0.0000,30.0651,97.4935,77.7300,cruise
546.7744,120.0000,0.0000,30.0651,97.4921,77.7269,cruise
547.2745,120.0000,0.0000,30.0651,97.4906,77.7239,cruise
547.7747,120.0000,0.0000,30.0651,97.4892,77.7208,cruise
548.2749,120.0000,0.0000,30.0651,97.4878,77.7178,cruise
548.7751,120.0000,0.0000,30.0651,97.4863,77.7147,cruise
549.2753,120.0000,0.0000,30.0651,97.4849,77.7117,cruise
549.7755,120.0000,0.0000,30.0651,97.4835,77.7086,cruise
550.2756,120.0000,0.0000,30.0651,97.4821,77.7056,cruise
