lap_number,lap_time_s,energy_wh,final_soc_pct,final_motor_temp_c,thermal_derating,avg_speed_kmh
1,27.9122,222.36,97.46,30.64,False,103.46
2,27.9122,222.36,94.92,34.67,False,103.46
3,27.9122,222.36,92.38,37.55,False,103.46
4,27.9122,222.36,89.83,39.61,False,103.46
5,27.9122,222.36,87.29,41.08,False,103.46
TOTAL,139.5608,1111.81,87.29,,,
AVG,27.9122,222.36,,,,
BEST,27.9122,,,,,
WORST,27.9122,,,,,
