distance_m,speed_kmh,ax_g,battery_power_kw,soc_pct,motor_temp_c,limiting_factor
526.7670,120.0000,0.0000,30.0651,87.5728,453.4830,cruise
527.2672,120.0000,0.0000,30.0651,87.5714,453.4233,cruise
527.7673,120.0000,0.0000,30.0651,87.5700,453.3636,cruise
528.2675,120.0000,0.0000,30.0651,87.5685,453.3040,cruise
528.7677,120.0000,0.0000,30.0651,87.5671,453.2443,cruise
529.2679,120.0000,0.0000,30.0651,87.5657,453.1847,cruise
529.7681,120.0000,0.0000,30.0651,87.5642,453.1251,cruise
530.2683,120.0000,0.0000,30.0651,87.5628,453.0655,cruise
530.7685,120.0000,0.0000,30.0651,87.5614,453.0059,cruise
531.2686,120.0000,0.0000,30.0651,87.5599,452.9463,cruise
531.7688,120.0000,0.0000,30.0651,87.5585,452.8867,cruise
532.2690,120.0000,0.0000,30.0651,87.5571,452.8271,cruise
532.7692,120.0000,0.0000,30.0651,87.5556,452.7676,cruise
533.2694,120.0000,0.0000,30.0651,87.5542,452.7080,cruise
533.7696,120.0000,0.0000,30.0651,87.5528,452.6485,cruise
534.2697,120.0000,0.0000,30.0651,87.5513,452.5890,cruise
534.7699,120.0000,0.0000,30.0651,87.5499,452.5295,cruise
535.2701,120.0000,0.0000,30.0651,87.5485,452.4700,cruise
535.7703,120.0000,0.0000,30.0651,87.5470,452.4105,cruise
536.2705,120.0000,0.0000,30.0651,87.5456,452.3510,cruise
536.7707,120.0000,0.0000,30.0651,87.5442,452.2915,cruise
537.2708,120.0000,0.0000,30.0651,87.5427,452.2321,cruise
537.7710,120.0000,0.0000,30.0651,87.5413,452.1726,cruise
538.2712,120.0000,0.0000,30.0651,87.5399,452.1132,cruise
538.7714,120.0000,0.0000,30.0651,87.5385,452.0538,cruise
539.2716,120.0000,0.0000,30.0651,87.5370,451.9943,cruise
539.7718,120.0000,0.0000,30.0651,87.5356,451.9349,cruise
540.2720,120.0000,0.0000,30.0651,87.5342,451.8756,cruise
