distance_m,speed_kmh,ax_g,battery_power_kw,soc_pct,motor_temp_c,limiting_factor
0.0000,120.0000,0.0000,30.0651,100.0000,32.5875,cruise
0.5002,120.0000,0.0000,30.0651,99.9986,32.5927,cruise
1.0004,120.0000,0.0000,30.0651,99.9971,32.5979,cruise
1.5006,120.0000,0.0000,30.0651,99.9957,32.6031,cruise
2.0007,120.0000,0.0000,30.0651,99.9943,32.6083,cruise
2.5009,120.0000,0.0000,30.0651,99.9928,32.6136,cruise
3.0011,120.0000,0.0000,30.0651,99.9914,32.6188,cruise
3.5013,120.0000,0.0000,30.0651,99.9900,32.6240,cruise
4.0015,120.0000,0.0000,30.0651,99.9885,32.6292,cruise
4.5017,120.0000,0.0000,30.0651,99.9871,32.6344,cruise
5.0018,120.0000,0.0000,30.0651,99.9857,32.6397,cruise
5.5020,120.0000,0.0000,30.0651,99.9842,32.6449,cruise
6.0022,120.0000,0.0000,30.0651,99.9828,32.6501,cruise
6.5024,120.0000,0.0000,30.0651,99.9814,32.6553,cruise
7.0026,120.0000,0.0000,30.0651,99.9799,32.6605,cruise
7.5028,120.0000,0.0000,30.0651,99.9785,32.6657,cruise
8.0029,120.0000,0.0000,30.0651,99.9771,32.6709,cruise
8.5031,120.0000,0.0000,30.0651,99.9757,32.6761,cruise
9.0033,120.0000,0.0000,30.0651,99.9742,32.6813,cruise
9.5035,120.0000,0.0000,30.0651,99.9728,32.6865,cruise
10.0037,120.0000,0.0000,30.0651,99.9714,32.6918,cruise
10.5039,120.0000,0.0000,30.0651,99.9699,32.6970,cruise
11.0041,120.0000,0.0000,30.0651,99.9685,32.7022,cruise
11.5042,120.0000,0.0000,30.0651,99.9671,32.7074,cruise
12.0044,120.0000,0.0000,30.0651,99.9656,32.7126,cruise
12.5046,120.0000,0.0000,30.0651,99.9642,32.7178,cruise
13.0048,120.0000,0.0000,30.0651,99.9628,32.7230,cruise
13.5050,120.0000,0.0000,30.0651,99.9613,32.7282,cruise
14.0052,120.0000,0.0000,30.0651,99.9599,32.7334,cruise
14.5053,120.0000,0.0000,30.0651,99.9585,32.7386,cruise
15.0055,120.0000,0.0000,30.0651,99.9570,32.7438,cruise
15.5057,120.0000,0.0000,30.0651,99.9556,32.7489,cruise
16.0059,120.0000,0.0000,30.0651,99.9542,32.7541,cruise
16.5061,120.0000,0.0000,30.0651,99.9527,32.7593,cruise
17.0063,120.0000,0.0000,30.0651,99.9513,32.7645,cruise
17.5065,120.0000,0.0000,30.0651,99.9499,32.7697,cruise
18.0066,120.0000,0.0000,30.0651,99.9484,32.7749,cruise
18.5068,120.0000,0.0000,30.0651,99.9470,32.7801,cruise
19.0070,120.0000,0.0000,30.0651,99.9456,32.7853,cruise
19.5072,120.0000,0.0000,30.0651,99.9441,32.7905,cruise
20.0074,120.0000,0.0000,30.0651,99.9427,32.7957,cruise
20.5076,120.0000,0.0000,30.0651,99.9413,32.8008,cruise
21.0077,120.0000,0.0000,30.0651,99.9398,32.8060,cruise
21.5079,120.0000,0.0000,30.0651,99.9384,32.8112,cruise
22.0081,120.0000,0.0000,30.0651,99.9370,32.8164,cruise
22.5083,120.0000,0.0000,30.0651,99.9356,32.8216,cruise
23.0085,120.0000,0.0000,30.0651,99.9341,32.8268,cruise
23.5087,120.0000,0.0000,30.0651,99.9327,32.8319,cruise
24.0088,120.0000,0.0000,30.0651,99.9313,32.8371,cruise
24.5090,120.0000,0.0000,30.0651,99.9298,32.8423,cruise
25.0092,120.0000,0.0000,30.0651,99.9284,32.8475,cruise
25.5094,120.0000,0.0000,30.0651,99.9270,32.8526,cruise
26.0096,120.0000,0.0000,30.0651,99.9255,32.8578,cruise
26.5098,120.0000,0.0000,30.0651,99.9241,32.8630,cruise
27.0100,120.0000,0.0000,30.0651,99.9227,32.8682,cruise
27.5101,120.0000,0.0000,30.0651,99.9212,32.8733,cruise
28.0103,120.0000,0.0000,30.0651,99.9198,32.8785,cruise
28.5105,120.0000,0.0000,30.0651,99.9184,32.8837,cruise
29.0107,120.0000,0.0000,30.0651,99.9169,32.8889,cruise
29.5109,120.0000,0.0000,30.0651,99.9155,32.8940,cruise
30.0111,120.0000,0.0000,30.0651,99.9141,32.8992,cruise
30.5112,120.0000,0.0000,30.0651,99.9126,32.9044,cruise
31.0114,120.0000,0.0000,30.0651,99.9112,32.9095,cruise
31.5116,120.0000,0.0000,30.0651,99.9098,32.9147,cruise
32.0118,120.0000,0.0000,30.0651,99.9083,32.9198,cruise
32.5120,120.0000,0.0000,30.0651,99.9069,32.9250,cruise
33.0122,120.0000,0.0000,30.0651,99.9055,32.9302,cruise
33.5124,120.0000,0.0000,30.0651,99.9040,32.9353,cruise
34.0125,120.0000,0.0000,30.0651,99.9026,32.9405,cruise
34.5127,120.0000,0.0000,30.0651,99.9012,32.9457,cruise
35.0129,120.0000,0.0000,30.0651,99.8997,32.9508,cruise
35.5131,120.0000,0.0000,30.0651,99.8983,32.9560,cruise
36.0133,120.0000,0.0000,30.0651,99.8969,32.9611,cruise
36.5135,120.0000,0.0000,30.0651,99.8954,32.9663,cruise
37.0136,120.0000,0.0000,30.0651,99.8940,32.9714,cruise
37.5138,120.0000,0.0000,30.0651,99.8926,32.9766,cruise
38.0140,120.0000,0.0000,30.0651,99.8912,32.9817,cruise
38.5142,120.0000,0.0000,30.0651,99.8897,32.9869,cruise
39.0144,120.0000,0.0000,30.0651,99.8883,32.9920,cruise
39.5146,120.0000,0.0000,30.0651,99.8869,32.9972,cruise
40.0147,120.0000,0.0000,30.0651,99.8854,33.0023,cruise
40.5149,120.0000,0.0000,30.0651,99.8840,33.0075,cruise
41.0151,120.0000,0.0000,30.0651,99.8826,33.0126,cruise
41.5153,120.0000,0.0000,30.0651,99.8811,33.0178,cruise
42.0155,120.0000,0.0000,30.0651,99.8797,33.0229,cruise
42.5157,120.0000,0.0000,30.0651,99.8783,33.0281,cruise
43.0159,120.0000,0.0000,30.0651,99.8768,33.0332,cruise
43.5160,120.0000,0.0000,30.0651,99.8754,33.0383,cruise
44.0162,120.0000,0.0000,30.0651,99.8740,33.0435,cruise
44.5164,120.0000,0.0000,30.0651,99.8725,33.0486,cruise
45.0166,120.0000,0.0000,30.0651,99.8711,33.0538,cruise
45.5168,120.0000,0.0000,30.0651,99.8697,33.0589,cruise
46.0170,120.0000,0.0000,30.0651,99.8682,33.0640,cruise
46.5171,120.0000,0.0000,30.0651,99.8668,33.0692,cruise
47.0173,120.0000,0.0000,30.0651,99.8654,33.0743,cruise
47.5175,120.0000,-85.2338,0.0000,99.8639,33.0795,braking
48.0177,59.6622,-17.4778,0.0000,99.8639,33.0776,braking
48.5179,36.5606,-5.0187,0.0000,99.8639,33.0743,braking
49.0181,26.4268,-1.7265,0.0000,99.8639,33.0694,braking
49.5183,21.8812,-0.4293,0.0000,99.8639,33.0631,braking
50.0132,20.6097,0.4848,9.8286,99.8639,33.0561,accel
50.5134,22.0550,1.8508,41.9223,99.8613,33.0590,accel
51.0136,26.8666,5.4166,80.0000,99.8515,33.0890,accel
51.5138,37.5596,19.4354,80.0000,99.8373,33.1837,accel
52.0139,62.3106,82.6940,80.0000,99.8282,33.4716,accel
52.5141,120.0000,0.0000,30.0651,99.8231,34.9191,cruise
53.0143,120.0000,0.0000,30.0651,99.8217,34.9239,cruise
53.5145,120.0000,0.0000,30.0651,99.8203,34.9287,cruise
54.0147,120.0000,0.0000,30.0651,99.8188,34.9335,cruise
54.5149,120.0000,0.0000,30.0651,99.8174,34.9382,cruise
55.0151,120.0000,0.0000,30.0651,99.8160,34.9430,cruise
55.5152,120.0000,0.0000,30.0651,99.8145,34.9478,cruise
56.0154,120.0000,0.0000,30.0651,99.8131,34.9526,cruise
56.5156,120.0000,0.0000,30.0651,99.8117,34.9574,cruise
57.0158,120.0000,0.0000,30.0651,99.8102,34.9622,cruise
57.5160,120.0000,0.0000,30.0651,99.8088,34.9670,cruise
58.0162,120.0000,0.0000,30.0651,99.8074,34.9718,cruise
58.5163,120.0000,0.0000,30.0651,99.8060,34.9766,cruise
59.0165,120.0000,0.0000,30.0651,99.8045,34.9814,cruise
59.5167,120.0000,0.0000,30.0651,99.8031,34.9861,cruise
60.0169,120.0000,0.0000,30.0651,99.8017,34.9909,cruise
60.5171,120.0000,0.0000,30.0651,99.8002,34.9957,cruise
61.0173,120.0000,0.0000,30.0651,99.7988,35.0005,cruise
61.5174,120.0000,0.0000,30.0651,99.7974,35.0053,cruise
62.0176,120.0000,0.0000,30.0651,99.7959,35.0100,cruise
62.5178,120.0000,0.0000,30.0651,99.7945,35.0148,cruise
63.0180,120.0000,0.0000,30.0651,99.7931,35.0196,cruise
63.5182,120.0000,0.0000,30.0651,99.7916,35.0244,cruise
64.0184,120.0000,-0.2598,0.0000,99.7902,35.0292,braking
64.5186,119.8623,-88.1847,0.0000,99.7902,35.0273,braking
65.0187,56.1359,-15.0277,0.0000,99.7902,35.0249,braking
65.5189,35.2129,-4.5030,0.0000,99.7902,35.0206,braking
66.0191,25.8311,-1.5687,0.0000,99.7902,35.0144,braking
66.5193,21.6271,-0.3678,0.0000,99.7902,35.0065,braking
67.0051,20.5500,0.5359,10.8347,99.7902,34.9978,accel
