distance_m,speed_kmh,ax_g,battery_power_kw,soc_pct,motor_temp_c,limiting_factor
0.0000,120.0000,0.0000,30.0651,89.8348,39.6073,cruise
0.5002,120.0000,0.0000,30.0651,89.8334,39.6086,cruise
1.0004,120.0000,0.0000,30.0651,89.8320,39.6099,cruise
1.5006,120.0000,0.0000,30.0651,89.8305,39.6111,cruise
2.0007,120.0000,0.0000,30.0651,89.8291,39.6124,cruise
2.5009,120.0000,0.0000,30.0651,89.8277,39.6137,cruise
3.0011,120.0000,0.0000,30.0651,89.8262,39.6149,cruise
3.5013,120.0000,0.0000,30.0651,89.8248,39.6162,cruise
4.0015,120.0000,0.0000,30.0651,89.8234,39.6175,cruise
4.5017,120.0000,0.0000,30.0651,89.8219,39.6188,cruise
5.0018,120.0000,0.0000,30.0651,89.8205,39.6200,cruise
5.5020,120.0000,0.0000,30.0651,89.8191,39.6213,cruise
6.0022,120.0000,0.0000,30.0651,89.8176,39.6226,cruise
6.5024,120.0000,0.0000,30.0651,89.8162,39.6238,cruise
7.0026,120.0000,0.0000,30.0651,89.8148,39.6251,cruise
7.5028,120.0000,0.0000,30.0651,89.8134,39.6264,cruise
8.0029,120.0000,0.0000,30.0651,89.8119,39.6276,cruise
8.5031,120.0000,0.0000,30.0651,89.8105,39.6289,cruise
9.0033,120.0000,0.0000,30.0651,89.8091,39.6302,cruise
9.5035,120.0000,0.0000,30.0651,89.8076,39.6314,cruise
10.0037,120.0000,0.0000,30.0651,89.8062,39.6327,cruise
10.5039,120.0000,0.0000,30.0651,89.8048,39.6340,cruise
11.0041,120.0000,0.0000,30.0651,89.8033,39.6352,cruise
11.5042,120.0000,0.0000,30.0651,89.8019,39.6365,cruise
12.0044,120.0000,0.0000,30.0651,89.8005,39.6378,cruise
12.5046,120.0000,0.0000,30.0651,89.7990,39.6390,cruise
13.0048,120.0000,0.0000,30.0651,89.7976,39.6403,cruise
13.5050,120.0000,0.0000,30.0651,89.7962,39.6416,cruise
14.0052,120.0000,0.0000,30.0651,89.7947,39.6428,cruise
14.5053,120.0000,0.0000,30.0651,89.7933,39.6441,cruise
15.0055,120.0000,0.0000,30.0651,89.7919,39.6454,cruise
15.5057,120.0000,0.0000,30.0651,89.7904,39.6466,cruise
16.0059,120.0000,0.0000,30.0651,89.7890,39.6479,cruise
16.5061,120.0000,0.0000,30.0651,89.7876,39.6492,cruise
17.0063,120.0000,0.0000,30.0651,89.7861,39.6504,cruise
17.5065,120.0000,0.0000,30.0651,89.7847,39.6517,cruise
18.0066,120.0000,0.0000,30.0651,89.7833,39.6530,cruise
18.5068,120.0000,0.0000,30.0651,89.7818,39.6542,cruise
19.0070,120.0000,0.0000,30.0651,89.7804,39.6555,cruise
19.5072,120.0000,0.0000,30.0651,89.7790,39.6567,cruise
20.0074,120.0000,0.0000,30.0651,89.7775,39.6580,cruise
20.5076,120.0000,0.0000,30.0651,89.7761,39.6593,cruise
21.0077,120.0000,0.0000,30.0651,89.7747,39.6605,cruise
21.5079,120.0000,0.0000,30.0651,89.7733,39.6618,cruise
22.0081,120.0000,0.0000,30.0651,89.7718,39.6631,cruise
22.5083,120.0000,0.0000,30.0651,89.7704,39.6643,cruise
23.0085,120.0000,0.0000,30.0651,89.7690,39.6656,cruise
23.5087,120.0000,0.0000,30.0651,89.7675,39.6668,cruise
24.0088,120.0000,0.0000,30.0651,89.7661,39.6681,cruise
24.5090,120.0000,0.0000,30.0651,89.7647,39.6694,cruise
25.0092,120.0000,0.0000,30.0651,89.7632,39.6706,cruise
25.5094,120.0000,0.0000,30.0651,89.7618,39.6719,cruise
26.0096,120.0000,0.0000,30.0651,89.7604,39.6731,cruise
26.5098,120.0000,0.0000,30.0651,89.7589,39.6744,cruise
27.0100,120.0000,0.0000,30.0651,89.7575,39.6757,cruise
27.5101,120.0000,0.0000,30.0651,89.7561,39.6769,cruise
28.0103,120.0000,0.0000,30.0651,89.7546,39.6782,cruise
28.5105,120.0000,0.0000,30.0651,89.7532,39.6794,cruise
29.0107,120.0000,0.0000,30.0651,89.7518,39.6807,cruise
29.5109,120.0000,0.0000,30.0651,89.7503,39.6820,cruise
30.0111,120.0000,0.0000,30.0651,89.7489,39.6832,cruise
30.5112,120.0000,0.0000,30.0651,89.7475,39.6845,cruise
31.0114,120.0000,0.0000,30.0651,89.7460,39.6857,cruise
31.5116,120.0000,0.0000,30.0651,89.7446,39.6870,cruise
32.0118,120.0000,0.0000,30.0651,89.7432,39.6882,cruise
32.5120,120.0000,0.0000,30.0651,89.7417,39.6895,cruise
33.0122,120.0000,0.0000,30.0651,89.7403,39.6908,cruise
33.5124,120.0000,0.0000,30.0651,89.7389,39.6920,cruise
34.0125,120.0000,0.0000,30.0651,89.7374,39.6933,cruise
34.5127,120.0000,0.0000,30.0651,89.7360,39.6945,cruise
35.0129,120.0000,0.0000,30.0651,89.7346,39.6958,cruise
35.5131,120.0000,0.0000,30.0651,89.7332,39.6970,cruise
36.0133,120.0000,0.0000,30.0651,89.7317,39.6983,cruise
36.5135,120.0000,0.0000,30.0651,89.7303,39.6995,cruise
37.0136,120.0000,0.0000,30.0651,89.7289,39.7008,cruise
37.5138,120.0000,0.0000,30.0651,89.7274,39.7020,cruise
38.0140,120.0000,0.0000,30.0651,89.7260,39.7033,cruise
38.5142,120.0000,0.0000,30.0651,89.7246,39.7046,cruise
39.0144,120.0000,0.0000,30.0651,89.7231,39.7058,cruise
39.5146,120.0000,0.0000,30.0651,89.7217,39.7071,cruise
40.0147,120.0000,0.0000,30.0651,89.7203,39.7083,cruise
40.5149,120.0000,0.0000,30.0651,89.7188,39.7096,cruise
41.0151,120.0000,0.0000,30.0651,89.7174,39.7108,cruise
41.5153,120.0000,0.0000,30.0651,89.7160,39.7121,cruise
42.0155,120.0000,0.0000,30.0651,89.7145,39.7133,cruise
42.5157,120.0000,0.0000,30.0651,89.7131,39.7146,cruise
43.0159,120.0000,0.0000,30.0651,89.7117,39.7158,cruise
43.5160,120.0000,0.0000,30.0651,89.7102,39.7171,cruise
